capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
7/31/2024,17-23-30,Austria,1,13395,0.01
7/31/2024,17-23-30,Belgium,1,14805,0.01
7/31/2024,17-23-30,Bulgaria,0,11985,0
7/31/2024,17-23-30,Croatia,1,8460,0.01
7/31/2024,17-23-30,Cyprus,0,4230,0
7/31/2024,17-23-30,Czechia,0,14805,0
7/31/2024,17-23-30,Denmark,2,9870,0.02
7/31/2024,17-23-30,Estonia,0,4935,0
7/31/2024,17-23-30,Finland,1,9870,0.01
7/31/2024,17-23-30,France,0,55695,0
7/31/2024,17-23-30,Germany,13,67680,0.02
7/31/2024,17-23-30,Greece,1,14805,0.01
7/31/2024,17-23-30,Hungary,0,14805,0
7/31/2024,17-23-30,Ireland,1,9165,0.01
7/31/2024,17-23-30,Italy,1,53580,0
7/31/2024,17-23-30,Latvia,0,5640,0
7/31/2024,17-23-30,Lithuania,0,7755,0
7/31/2024,17-23-30,Luxembourg,0,4230,0
7/31/2024,17-23-30,Malta,0,4230,0
7/31/2024,17-23-30,Netherlands,4,20445,0.02
7/31/2024,17-23-30,Poland,1,36660,0
7/31/2024,17-23-30,Portugal,0,14805,0
7/31/2024,17-23-30,Romania,0,23265,0
7/31/2024,17-23-30,Slovakia,1,9870,0.01
7/31/2024,17-23-30,Slovenia,0,5640,0
7/31/2024,17-23-30,Spain,0,41595,0
7/31/2024,17-23-30,Sweden,5,14805,0.03
7/31/2024,17-23-30,Total number of signatories,33,,
7/31/2024,17-41-46,Austria,1,13395,0.01
7/31/2024,17-41-46,Belgium,1,14805,0.01
7/31/2024,17-41-46,Bulgaria,0,11985,0
7/31/2024,17-41-46,Croatia,1,8460,0.01
7/31/2024,17-41-46,Cyprus,0,4230,0
7/31/2024,17-41-46,Czechia,0,14805,0
7/31/2024,17-41-46,Denmark,2,9870,0.02
7/31/2024,17-41-46,Estonia,0,4935,0
7/31/2024,17-41-46,Finland,1,9870,0.01
7/31/2024,17-41-46,France,0,55695,0
7/31/2024,17-41-46,Germany,13,67680,0.02
7/31/2024,17-41-46,Greece,1,14805,0.01
7/31/2024,17-41-46,Hungary,0,14805,0
7/31/2024,17-41-46,Ireland,1,9165,0.01
7/31/2024,17-41-46,Italy,1,53580,0
7/31/2024,17-41-46,Latvia,0,5640,0
7/31/2024,17-41-46,Lithuania,0,7755,0
7/31/2024,17-41-46,Luxembourg,0,4230,0
7/31/2024,17-41-46,Malta,0,4230,0
7/31/2024,17-41-46,Netherlands,4,20445,0.02
