capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
2025-07-05,13:04:23,Portugal,27350,14805.0,184.73
2025-07-05,13:04:23,Romania,32117,23265.0,138.05
2025-07-05,13:04:23,Slovakia,15818,9870.0,160.26
2025-07-05,13:04:23,Slovenia,6057,5640.0,107.39
2025-07-05,13:04:23,Spain,99950,41595.0,240.29
2025-07-05,13:04:23,Sweden,59977,14805.0,405.11
2025-07-05,13:04:23,Total number of signatories,1145975,,
2025-07-06,20:15:46,Austria,19191,13395.0,143.27
2025-07-06,20:15:46,Belgium,27096,14805.0,183.02
2025-07-06,20:15:46,Bulgaria,12772,11985.0,106.57
2025-07-06,20:15:46,Croatia,13012,8460.0,153.81
2025-07-06,20:15:46,Cyprus,1962,4230.0,46.38
2025-07-06,20:15:46,Czechia,21580,14805.0,145.76
2025-07-06,20:15:46,Denmark,33287,9870.0,337.25
2025-07-06,20:15:46,Estonia,8547,4935.0,173.19
2025-07-06,20:15:46,Finland,52234,9870.0,529.22
2025-07-06,20:15:46,France,125916,55695.0,226.08
2025-07-06,20:15:46,Germany,254311,67680.0,375.76
2025-07-06,20:15:46,Greece,18380,14805.0,124.15
2025-07-06,20:15:46,Hungary,23459,14805.0,158.45
2025-07-06,20:15:46,Ireland,32448,9165.0,354.04
2025-07-06,20:15:46,Italy,66920,53580.0,124.9
2025-07-06,20:15:46,Latvia,7263,5640.0,128.78
2025-07-06,20:15:46,Lithuania,13247,7755.0,170.82
2025-07-06,20:15:46,Luxembourg,2482,4230.0,58.68
2025-07-06,20:15:46,Malta,1846,4230.0,43.64
2025-07-06,20:15:46,Netherlands,79666,20445.0,389.66
2025-07-06,20:15:46,Poland,132354,36660.0,361.03
2025-07-06,20:15:46,Portugal,28527,14805.0,192.68
2025-07-06,20:15:46,Romania,33470,23265.0,143.86
2025-07-06,20:15:46,Slovakia,17036,9870.0,172.6
2025-07-06,20:15:46,Slovenia,6307,5640.0,111.83
2025-07-06,20:15:46,Spain,105595,41595.0,253.86
2025-07-06,20:15:46,Sweden,62982,14805.0,425.41
2025-07-06,20:15:46,Total number of signatories,1201890,,
2025-07-07,00:08:19,Austria,19191,13395.0,143.27
2025-07-07,00:08:19,Belgium,27096,14805.0,183.02
2025-07-07,00:08:19,Bulgaria,12772,11985.0,106.57
2025-07-07,00:08:19,Croatia,13012,8460.0,153.81
2025-07-07,00:08:19,Cyprus,1962,4230.0,46.38
2025-07-07,00:08:19,Czechia,21580,14805.0,145.76
2025-07-07,00:08:19,Denmark,33287,9870.0,337.25
2025-07-07,00:08:19,Estonia,8547,4935.0,173.19
2025-07-07,00:08:19,Finland,52234,9870.0,529.22
2025-07-07,00:08:19,France,125916,55695.0,226.08
2025-07-07,00:08:19,Germany,254311,67680.0,375.76
2025-07-07,00:08:19,Greece,18380,14805.0,124.15
2025-07-07,00:08:19,Hungary,23459,14805.0,158.45
2025-07-07,00:08:19,Ireland,32448,9165.0,354.04
2025-07-07,00:08:19,Italy,66920,53580.0,124.9
2025-07-07,00:08:19,Latvia,7263,5640.0,128.78
2025-07-07,00:08:19,Lithuania,13247,7755.0,170.82
2025-07-07,00:08:19,Luxembourg,2482,4230.0,58.68
2025-07-07,00:08:19,Malta,1846,4230.0,43.64
2025-07-07,00:08:19,Netherlands,79666,20445.0,389.66
2025-07-07,00:08:19,Poland,132354,36660.0,361.03
2025-07-07,00:08:19,Portugal,28527,14805.0,192.68
2025-07-07,00:08:19,Romania,33470,23265.0,143.86
2025-07-07,00:08:19,Slovakia,17036,9870.0,172.6
2025-07-07,00:08:19,Slovenia,6307,5640.0,111.83
2025-07-07,00:08:19,Spain,105595,41595.0,253.86
2025-07-07,00:08:19,Sweden,62982,14805.0,425.41
2025-07-07,00:08:19,Total number of signatories,1201890,,
2025-07-07,11:19:45,Austria,19493,13395.0,145.52
2025-07-07,11:19:45,Belgium,27570,14805.0,186.22
2025-07-07,11:19:45,Bulgaria,12958,11985.0,108.12
2025-07-07,11:19:45,Croatia,13158,8460.0,155.53
2025-07-07,11:19:45,Cyprus,1991,4230.0,47.07
2025-07-07,11:19:45,Czechia,22271,14805.0,150.43
2025-07-07,11:19:45,Denmark,33798,9870.0,342.43
2025-07-07,11:19:45,Estonia,8644,4935.0,175.16
2025-07-07,11:19:45,Finland,53092,9870.0,537.91
2025-07-07,11:19:45,France,130274,55695.0,233.91
2025-07-07,11:19:45,Germany,258606,67680.0,382.1
